   ,      ,                 , workers , , , , 
mpi, model, threads-per-core, 2, 4, 8, 16, 32
impi4, threadWorkComm, 1, 1.0942 , 2.6856 , 7.444 , 19.8354 , 44.3168 
impi4, threadWorkComm, 2, 1.847 , 2.741 , 7.0572 , 17.7922 , 43.8934 
impi4, threadWorkComm, 4, 1.5304 , 2.417 , 6.7752 , 16.9144 , 42.0378 
impi4, mpiWork, 1, 0.0444 , 0.0436 , 0.0438 , 0.0436 , 0.0436 
impi4, mpiWork, 2, 0.1454 , 0.1438 , 0.1444 , 0.144 , 0.144 
impi4, mpiWork, 4, 0.251 , 0.2522 , 0.2532 , 0.2528 , 0.2526 
impi4, mpiWorkThreadMult, 1, 0.0742 , 0.0734 , 0.074 , 0.0736 , 0.0738 
impi4, mpiWorkThreadMult, 2, 0.1992 , 0.1994 , 0.1998 , 0.202 , 0.1988 
impi4, mpiWorkThreadMult, 4, 0.3576 , 0.3556 , 0.3594 , 0.355 , 0.3578 
impi5, threadWorkComm, 1, 0.7422 , 2.7226 , 7.1064 , 18.4822 , 42.765 
impi5, threadWorkComm, 2, 0.9698 , 2.3846 , 6.4668 , 15.289 , 41.4386 
impi5, threadWorkComm, 4, 0.9668 , 2.0686 , 6.0412 , 13.7852 , 38.2496 
impi5, mpiWork, 1, 0.0226 , 0.023 , 0.023 , 0.0246 , 0.0254 
impi5, mpiWork, 2, 0.0622 , 0.0632 , 0.0622 , 0.0622 , 0.063 
impi5, mpiWork, 4, 0.1628 , 0.1592 , 0.156 , 0.157 , 0.1584 
impi5, mpiWorkThreadMult, 1, 0.037 , 0.0362 , 0.0364 , 0.0376 , 0.0364 
impi5, mpiWorkThreadMult, 2, 0.0902 , 0.0904 , 0.0886 , 0.0896 , 0.0894 
impi5, mpiWorkThreadMult, 4, 0.234 , 0.2324 , 0.219 , 0.2206 , 0.2286 
impi51, threadWorkComm, 1, 0.7728 , 2.807 , 6.9916 , 18.293 , 42.3842 
impi51, threadWorkComm, 2, 1.4986 , 2.3072 , 6.3904 , 15.2192 , 41.3416 
impi51, threadWorkComm, 4, 1.2304 , 2.1484 , 6.0166 , 13.7792 , 37.9134
mvapich2-mic, threadWorkComm, 1, 38.3682 , 10.404 , 5.944 , 12.6848 , 28.5394 
mvapich2-mic, threadWorkComm, 2, 147.384 , 5.735 , 5.466 , 11.84 , 24.4438 
mvapich2-mic, threadWorkComm, 4, >100, >100, 7.9684 , 12.4788 , 25.419 
mvapich2-mic2, threadWorkComm, 1, 1.1414 , 6.3 , 5.3218 , 12.2706 , 25.9254 
mvapich2-mic2, threadWorkComm, 2, 0.6936 , 2.2848 , 4.9388 , 10.5948 , 22.7568 
mvapich2-mic2, threadWorkComm, 4, 0.6854 , 2.7284 , 5.356 , 10.8154 , 23.2128 
mpich3, threadWorkComm, 1, 1.8416 , 3.0662 , 7.1046 , 17.6648 , 50.5388 
mpich3, threadWorkComm, 2, 1.8742 , 3.1186 , 6.7238 , 15.5758 , 45.4098 
mpich3, threadWorkComm, 4, 1.6294 , >100   , 6.6462 , 14.6372 , 40.4302
